,date,totalCases,newCases,totalRecoveries,newRecoveries,totalDeaths,newDeaths
0,2020-01-30,0,0,0,0,0,0
1,2020-01-31,0,0,1,1,0,0
2,2020-02-01,0,0,1,0,0,0
3,2020-02-02,0,0,1,0,0,0
4,2020-02-03,0,0,1,0,0,0
5,2020-02-04,0,0,1,0,0,0
6,2020-02-05,0,0,1,0,0,0
7,2020-02-06,0,0,1,0,0,0
8,2020-02-07,0,0,1,0,0,0
9,2020-02-08,0,0,1,0,0,0
10,2020-02-09,0,0,1,0,0,0
11,2020-02-10,0,0,1,0,0,0
12,2020-02-11,0,0,1,0,0,0
13,2020-02-12,0,0,1,0,0,0
14,2020-02-13,0,0,1,0,0,0
15,2020-02-14,0,0,1,0,0,0
16,2020-02-15,0,0,1,0,0,0
17,2020-02-16,0,0,1,0,0,0
18,2020-02-17,0,0,1,0,0,0
19,2020-02-18,0,0,1,0,0,0
20,2020-02-19,0,0,1,0,0,0
21,2020-02-20,0,0,2,1,0,0
22,2020-02-21,0,0,2,0,0,0
23,2020-02-22,0,0,2,0,0,0
24,2020-02-23,0,0,2,0,0,0
25,2020-02-24,0,0,2,0,0,0
26,2020-02-25,0,0,2,0,0,0
27,2020-02-26,0,0,2,0,0,0
28,2020-02-27,0,0,2,0,0,0
29,2020-02-28,0,0,2,0,0,0
30,2020-02-29,0,0,2,0,0,0
31,2020-03-01,0,0,2,0,0,0
32,2020-03-02,0,0,2,0,0,0
33,2020-03-03,0,0,2,0,0,0
34,2020-03-04,0,0,2,0,0,0
35,2020-03-05,0,0,2,0,0,0
36,2020-03-06,0,0,2,0,0,0
37,2020-03-07,0,0,2,0,0,0
38,2020-03-08,0,0,2,0,0,0
39,2020-03-09,0,0,2,0,0,0
40,2020-03-10,0,0,2,0,0,0
41,2020-03-11,0,0,2,0,0,0
42,2020-03-12,0,0,2,0,0,0
43,2020-03-13,0,0,2,0,0,0
44,2020-03-14,0,0,2,0,0,0
45,2020-03-15,0,0,2,0,0,0
46,2020-03-16,0,0,2,0,0,0
47,2020-03-17,0,0,2,0,0,0
48,2020-03-18,0,0,2,0,0,0
49,2020-03-19,0,0,2,0,0,0
50,2020-03-20,0,0,2,0,0,0
51,2020-03-21,0,0,2,0,0,0
52,2020-03-22,0,0,2,0,0,0
53,2020-03-23,1,1,2,0,0,0
54,2020-03-24,1,0,2,0,0,0
55,2020-03-25,2,1,2,0,0,0
56,2020-03-26,2,0,2,0,0,0
57,2020-03-27,3,1,2,0,0,0
58,2020-03-28,4,1,2,0,0,0
59,2020-03-29,4,0,2,0,0,0
60,2020-03-30,4,0,2,0,0,0
61,2020-03-31,4,0,2,0,0,0
62,2020-04-01,4,0,2,0,0,0
63,2020-04-02,5,1,2,0,0,0
64,2020-04-03,5,0,2,0,0,0
65,2020-04-04,8,3,2,0,0,0
66,2020-04-05,8,0,2,0,0,0
67,2020-04-06,8,0,2,0,0,0
68,2020-04-07,8,0,2,0,0,0
69,2020-04-08,8,0,2,0,0,0
70,2020-04-09,8,0,2,0,0,0
71,2020-04-10,8,0,2,0,0,0
72,2020-04-11,8,0,2,0,0,0
73,2020-04-12,11,3,2,0,0,0
74,2020-04-13,13,2,2,0,0,0
75,2020-04-14,15,2,2,0,0,0
76,2020-04-15,15,0,2,0,0,0
77,2020-04-16,15,0,2,0,0,0
78,2020-04-17,29,14,2,0,0,0
79,2020-04-18,30,1,4,2,0,0
80,2020-04-19,30,0,5,1,0,0
81,2020-04-20,30,0,5,0,0,0
82,2020-04-21,41,11,6,1,0,0
83,2020-04-22,44,3,8,2,0,0
84,2020-04-23,47,3,10,2,0,0
85,2020-04-24,48,1,12,2,0,0
86,2020-04-25,48,0,13,1,0,0
87,2020-04-26,51,3,17,4,0,0
88,2020-04-27,51,0,17,0,0,0
89,2020-04-28,53,2,17,0,0,0
90,2020-04-29,56,3,17,0,0,0
91,2020-04-30,56,0,17,0,0,0
92,2020-05-01,58,2,17,0,0,0
93,2020-05-02,58,0,17,0,0,0
94,2020-05-03,74,16,17,0,0,0
95,2020-05-04,74,0,17,0,0,0
96,2020-05-05,81,7,17,0,0,0
97,2020-05-06,98,17,23,6,0,0
98,2020-05-07,100,2,23,0,0,0
99,2020-05-08,101,1,31,8,0,0
100,2020-05-09,108,7,32,1,0,0
101,2020-05-10,109,1,32,0,0,0
102,2020-05-11,133,24,34,2,0,0
103,2020-05-12,216,83,34,0,0,0
104,2020-05-13,242,26,36,2,0,0
105,2020-05-14,248,6,36,0,1,1
106,2020-05-15,266,18,37,1,1,0
107,2020-05-16,280,14,37,0,1,0
108,2020-05-17,294,14,37,0,3,2
109,2020-05-18,374,80,37,0,3,0
110,2020-05-19,401,27,38,1,3,0
111,2020-05-20,426,25,46,8,3,0
112,2020-05-21,456,30,50,4,4,1
113,2020-05-22,515,59,71,21,4,0
114,2020-05-23,583,68,71,0,4,0
115,2020-05-24,602,19,88,17,4,0
116,2020-05-25,681,79,113,25,4,0
117,2020-05-26,771,90,155,42,4,0
118,2020-05-27,771,0,155,0,4,0
119,2020-05-28,771,0,155,0,4,0
